vigilance,sentence
0,A customer is sitting quietly at a table reading the menu
0,Two people are having a calm conversation over dinner
0,A waiter is standing behind the counter waiting for orders
0,Empty tables and chairs are arranged neatly in the dining area
0,A person is slowly drinking coffee at a corner table
0,The warehouse shelves are fully stocked with boxes
0,A worker is calmly organizing inventory on a shelf
0,Packages are neatly stacked on pallets in the warehouse
0,A forklift is parked in the loading dock area
0,The restaurant kitchen is clean and orderly
1,A waiter is carrying a tray of food to a table
1,Customers are entering the restaurant through the front door
1,A person is paying their bill at the cash register
1,Workers are loading boxes onto a truck at the dock
1,A delivery person is bringing supplies through the back door
1,People are standing in line waiting to be seated
1,A cook is preparing food in the kitchen
1,Someone is sweeping the floor of the warehouse
1,A manager is walking through the restaurant checking tables
1,A person is taking photos of their food at the table
2,A group of customers is laughing loudly at a table
2,Children are running between tables in the restaurant
2,A worker is quickly moving boxes across the warehouse floor
2,Someone is waving energetically to get the waiter attention
2,A person accidentally drops a glass on the floor
2,Several people are talking loudly on phones in the dining area
2,A delivery truck is backing up rapidly to the loading dock
2,Workers are hurrying to finish loading before the deadline
2,A customer is gesturing energetically while telling a story
2,The kitchen staff is moving quickly during the rush hour
3,A person is standing up abruptly knocking over their chair
3,Someone is arguing loudly on the phone in the restaurant
3,A customer is complaining aggressively to the manager
3,Two people are having a heated verbal exchange at a table
3,A person is pacing nervously back and forth near the exit
3,Someone is looking around suspiciously in the warehouse aisles
3,A person wearing a hood is lingering near the cash register
3,An unknown person is trying to access a restricted storage area
3,Someone is banging on the table repeatedly with their fist
3,A person is filming other customers without their consent
4,Two customers are standing face to face shouting at each other
4,A person is throwing small objects on the ground in anger
4,Someone is climbing over warehouse shelving units
4,A person is forcefully pushing through a crowd of customers
4,Someone has jumped over the counter in the restaurant
4,A person is seen breaking a window pane in the building
4,Someone is trying to force open a locked storage door
4,A person is aggressively grabbing items from display shelves
4,Multiple people are gathering and forming a hostile group
4,A person is verbally threatening the restaurant staff
5,A person is brandishing a glass bottle as a weapon
5,Someone is running while carrying the cash register drawer
5,A masked individual enters the restaurant aggressively
5,People are screaming and running toward the emergency exits
5,A person is smashing furniture in the middle of the restaurant
5,Someone is seen hiding a suspicious package under a table
5,A person is breaking display cases violently in the warehouse
5,Workers are fleeing from a section of the warehouse in panic
5,A person is overturning tables and chairs violently
5,Someone is cornering another person against a wall threateningly
6,A person is physically grabbing and restraining another person
6,Someone is throwing chairs at other customers in the restaurant
6,A person is robbing the cash register at the front counter
6,Multiple people are fighting in the middle of the dining area
6,A person is dragging someone across the restaurant floor
6,Someone is swinging a metal bar at warehouse equipment
6,A person is forcefully stealing belongings from a customer
6,Someone is setting fire to materials stored in the warehouse
6,A person is blocking all exits while threatening everyone inside
6,Someone is violently kicking another person on the ground
7,A person is attacking someone with a sharp object in the restaurant
7,Someone is holding a knife and threatening customers at their tables
7,A person is being beaten by multiple attackers simultaneously
7,An armed individual with a bat is destroying everything in sight
7,Someone is choking another person with their hands
7,A person is seen stabbing at another individual with a blade
7,Blood is visible on the floor after a violent physical altercation
7,A person is throwing another person violently against the wall
7,Someone is being held hostage behind the restaurant counter
7,A person is attacking staff members with a heavy blunt object
8,A person is pointing a firearm at employees behind the counter
8,An armed robbery is taking place inside the restaurant
8,Multiple armed individuals are threatening everyone in the building
8,A person has discharged a weapon inside the establishment
8,Someone is being held at gunpoint while the register is emptied
8,Armed persons are forcing all customers and staff to the ground
8,A person is slashing at people with a large knife in the crowd
8,Explosive devices are being detonated inside the warehouse
8,A vehicle has crashed through the front entrance of the restaurant
8,Armed individuals are executing a coordinated assault on the premises
9,Multiple gunshots are being fired inside the crowded restaurant
9,People are lying motionless on the ground after a violent attack
9,A large explosion has occurred inside the warehouse injuring workers
9,A person is on the ground bleeding heavily from serious wounds
9,An active shooter situation is unfolding with casualties visible
10,A massive fire is engulfing the warehouse with people trapped inside
10,Multiple people are lying unconscious on the floor after a shooting
10,The building structure is collapsing with people still trapped inside
10,A bombing attack has occurred with multiple victims visible everywhere
10,An armed assault is ongoing with multiple casualties and continuous gunfire
